client_id,process_step,Variation_x,success,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation_y
7020,confirm,Control,1,16.0,195.0,41.5,F,2.0,63648.09,2.0,5.0,Control
7563,confirm,Test,1,8.0,106.0,29.5,M,3.0,186719.52,6.0,9.0,Test
7567,confirm,Control,1,21.0,252.0,33.0,F,2.0,27165.99,1.0,5.0,Control
7657,confirm,Test,1,18.0,218.0,41.5,M,2.0,55643.37,2.0,5.0,Test
7723,confirm,Test,1,30.0,364.0,54.5,M,4.0,571316.8,5.0,8.0,Test
8055,confirm,Test,1,22.0,269.0,55.5,M,2.0,710672.04,5.0,8.0,Test
8101,confirm,Control,1,11.0,143.0,70.5,M,2.0,257863.03,6.0,9.0,Control
8820,confirm,Test,1,4.0,56.0,25.5,U,2.0,44159.49,2.0,5.0,Test
9767,confirm,Control,1,6.0,75.0,34.0,M,2.0,29523.54,1.0,4.0,Control
9916,confirm,Test,1,17.0,211.0,40.5,M,2.0,162968.55,4.0,7.0,Test
11040,confirm,Test,1,5.0,69.0,31.5,U,3.0,50531.17999999999,6.0,9.0,Test
11054,confirm,Control,1,4.0,56.0,60.0,M,2.0,208185.54,2.0,5.0,Control
11070,confirm,Control,1,14.0,171.0,53.5,M,3.0,255988.05,6.0,9.0,Control
11122,confirm,Control,1,16.0,194.0,40.5,M,2.0,31193.51,2.0,5.0,Control
11309,confirm,Test,1,10.0,126.0,46.5,F,3.0,647166.9600000001,5.0,8.0,Test
11880,confirm,Test,1,5.0,71.0,27.0,U,2.0,61355.21,6.0,9.0,Test
12785,confirm,Test,1,15.0,190.0,51.5,F,2.0,82425.54999999999,2.0,5.0,Test
13009,confirm,Control,1,10.0,121.0,63.5,U,2.0,71534.88,1.0,4.0,Control
13735,confirm,Test,1,11.0,143.0,27.5,M,2.0,119530.99,5.0,8.0,Test
15050,confirm,Test,1,26.0,321.0,52.5,F,3.0,65688.56,6.0,9.0,Test
15189,confirm,Test,1,5.0,66.0,19.5,U,3.0,52505.2,1.0,4.0,Test
16098,confirm,Test,1,6.0,72.0,36.5,U,3.0,58643.48,2.0,5.0,Test
16135,confirm,Control,1,14.0,170.0,63.5,F,2.0,173616.2,3.0,6.0,Control
16295,confirm,Test,1,23.0,281.0,55.0,F,2.0,77984.93,2.0,5.0,Test
16549,confirm,Control,1,24.0,294.0,55.5,F,3.0,314799.02,4.0,7.0,Control
16747,confirm,Control,1,13.0,166.0,31.5,F,2.0,64652.09,1.0,4.0,Control
17008,confirm,Control,1,25.0,304.0,55.5,M,2.0,27571.03,1.0,4.0,Control
17036,confirm,Control,1,5.0,65.0,34.5,U,3.0,49959.53,3.0,6.0,Control
17160,confirm,Control,1,14.0,169.0,53.5,F,3.0,140511.63,6.0,9.0,Control
17170,confirm,Test,1,15.0,189.0,63.0,M,2.0,83531.35,3.0,6.0,Test
17404,confirm,Test,1,5.0,70.0,37.5,U,2.0,45770.59,3.0,6.0,Test
18549,confirm,Test,1,22.0,264.0,43.0,M,3.0,55374.98,4.0,7.0,Test
18973,confirm,Control,1,13.0,160.0,54.0,M,4.0,353529.66,1.0,4.0,Control
19782,confirm,Control,1,6.0,82.0,61.5,U,2.0,27840.35,2.0,5.0,Control
19813,confirm,Control,1,14.0,168.0,65.0,F,2.0,31462.06,0.0,3.0,Control
19832,confirm,Control,1,14.0,168.0,63.5,F,2.0,97291.64,3.0,6.0,Control
20091,confirm,Control,1,5.0,70.0,21.0,U,3.0,69958.08,5.0,8.0,Control
20185,confirm,Test,1,15.0,189.0,60.5,F,2.0,69992.51999999999,2.0,5.0,Test
20537,confirm,Control,1,9.0,109.0,74.5,F,2.0,72955.33,6.0,9.0,Control
20564,confirm,Test,1,10.0,124.0,55.5,M,6.0,1648443.6,3.0,6.0,Test
20643,confirm,Test,1,9.0,119.0,34.5,M,2.0,59487.79,2.0,5.0,Test
21242,confirm,Control,1,13.0,163.0,30.5,F,2.0,42414.56,6.0,9.0,Control
21281,confirm,Test,1,12.0,144.0,63.5,M,2.0,24221.12,0.0,3.0,Test
21353,confirm,Control,1,21.0,260.0,77.5,F,2.0,25418.25,2.0,5.0,Control
21498,confirm,Control,1,16.0,193.0,70.5,F,2.0,50672.1,5.0,8.0,Control
21596,confirm,Test,1,11.0,142.0,43.0,U,2.0,56511.63,0.0,3.0,Test
21940,confirm,Control,1,12.0,150.0,43.5,M,2.0,33031.88,6.0,9.0,Control
21970,confirm,Control,1,5.0,65.0,22.5,U,4.0,170906.62,4.0,7.0,Control
22007,confirm,Test,1,10.0,131.0,75.5,F,2.0,168540.65000000002,6.0,9.0,Test
23276,confirm,Control,1,13.0,158.0,67.5,M,2.0,183345.95,3.0,6.0,Control
23864,confirm,Control,1,16.0,196.0,47.5,M,2.0,192922.53,2.0,5.0,Control
23914,confirm,Test,1,7.0,91.0,25.0,U,2.0,30797.88,4.0,7.0,Test
24443,confirm,Test,1,10.0,122.0,49.0,M,2.0,331869.28,6.0,9.0,Test
24572,confirm,Test,1,6.0,72.0,23.5,F,2.0,52351.16,3.0,6.0,Test
24703,confirm,Test,1,5.0,63.0,30.5,F,3.0,30123.94,6.0,9.0,Test
24710,confirm,Control,1,21.0,259.0,49.0,F,3.0,499093.11,4.0,7.0,Control
24841,confirm,Test,1,14.0,178.0,70.5,M,2.0,122013.3,6.0,9.0,Test
25022,confirm,Test,1,8.0,98.0,26.5,U,2.0,75836.08,3.0,6.0,Test
25026,confirm,Test,1,10.0,123.0,62.5,M,2.0,49325.12,6.0,9.0,Test
25043,confirm,Control,1,25.0,310.0,59.5,F,2.0,101511.78,6.0,9.0,Control
25766,confirm,Control,1,15.0,181.0,33.5,F,2.0,70057.79000000001,0.0,3.0,Control
26036,confirm,Test,1,12.0,154.0,28.5,M,3.0,41695.78999999999,6.0,9.0,Test
26070,confirm,Test,1,10.0,124.0,24.0,M,2.0,42777.59,1.0,5.0,Test
26105,confirm,Test,1,5.0,65.0,33.0,U,2.0,80349.53,0.0,3.0,Test
26211,confirm,Control,1,15.0,181.0,41.5,F,2.0,175885.87,0.0,3.0,Control
27021,confirm,Control,1,9.0,114.0,34.5,M,3.0,94571.25,6.0,9.0,Control
27075,confirm,Test,1,20.0,250.0,53.5,M,2.0,252504.83,1.0,4.0,Test
27241,confirm,Control,1,8.0,101.0,34.5,U,5.0,645122.5,6.0,9.0,Control
27554,confirm,Control,1,16.0,194.0,36.0,M,2.0,88188.19,3.0,6.0,Control
27764,confirm,Test,1,4.0,58.0,23.0,U,2.0,30495.82,1.0,4.0,Test
27907,confirm,Test,1,4.0,59.0,52.5,U,2.0,29550.08,0.0,3.0,Test
27988,confirm,Control,1,28.0,345.0,60.0,F,3.0,303467.75,6.0,9.0,Control
28241,confirm,Test,1,6.0,80.0,48.5,M,3.0,421518.75,5.0,8.0,Test
28371,confirm,Test,1,11.0,139.0,34.5,M,3.0,307545.14,6.0,9.0,Test
28542,confirm,Control,1,16.0,195.0,55.0,M,3.0,392091.16,0.0,3.0,Control
28705,confirm,Control,1,15.0,190.0,53.0,F,2.0,24910.86,6.0,9.0,Control
28845,confirm,Control,1,12.0,144.0,33.5,M,2.0,129771.01,1.0,4.0,Control
28857,confirm,Control,1,14.0,178.0,52.0,M,2.0,104511.86,3.0,6.0,Control
29227,confirm,Test,1,15.0,189.0,69.5,F,3.0,73112.36,1.0,4.0,Test
29527,confirm,Test,1,10.0,129.0,51.5,F,2.0,48361.4,0.0,3.0,Test
29595,confirm,Control,1,5.0,68.0,37.0,U,2.0,46514.58,3.0,6.0,Control
30318,confirm,Test,1,4.0,59.0,54.5,U,3.0,91676.51,4.0,7.0,Test
30493,confirm,Test,1,15.0,184.0,49.5,F,2.0,169561.27000000002,0.0,3.0,Test
31264,confirm,Control,1,14.0,174.0,37.0,M,2.0,60888.18,5.0,8.0,Control
31336,confirm,Test,1,10.0,123.0,28.5,M,3.0,50968.89,6.0,9.0,Test
31404,confirm,Test,1,22.0,268.0,54.5,U,2.0,43254.15,3.0,6.0,Test
31499,confirm,Test,1,20.0,246.0,66.0,M,3.0,211432.85,3.0,6.0,Test
31502,confirm,Control,1,7.0,84.0,47.5,U,2.0,57208.46,1.0,4.0,Control
31597,confirm,Test,1,6.0,80.0,68.0,U,2.0,144290.56,6.0,9.0,Test
31715,confirm,Control,1,7.0,85.0,32.5,U,2.0,44980.67999999999,1.0,4.0,Control
32197,confirm,Control,1,15.0,183.0,42.5,M,2.0,36420.05,1.0,4.0,Control
32521,confirm,Test,1,14.0,174.0,57.5,F,2.0,71650.0,3.0,6.0,Test
32746,confirm,Test,1,14.0,171.0,40.5,F,2.0,63460.18,3.0,6.0,Test
33190,confirm,Control,1,14.0,171.0,44.0,F,2.0,108890.4,5.0,8.0,Control
33265,confirm,Test,1,18.0,219.0,42.5,U,3.0,499871.06,6.0,9.0,Test
33463,confirm,Control,1,4.0,59.0,33.5,U,2.0,41910.53999999999,2.0,5.0,Control
33472,confirm,Test,1,5.0,65.0,42.5,U,2.0,42918.45,6.0,9.0,Test
33752,confirm,Test,1,8.0,106.0,51.5,F,2.0,27416.12,0.0,3.0,Test
34067,confirm,Control,1,21.0,262.0,65.5,M,3.0,66801.59,4.0,7.0,Control
34267,confirm,Control,1,21.0,255.0,74.5,M,2.0,38494.91,1.0,4.0,Control
34603,confirm,Control,1,16.0,194.0,40.5,M,2.0,58331.59,0.0,3.0,Control
35138,confirm,Test,1,24.0,298.0,81.5,F,3.0,794375.0900000001,3.0,6.0,Test
35181,confirm,Test,1,15.0,190.0,48.5,M,2.0,24566.59,1.0,4.0,Test
35257,confirm,Control,1,7.0,85.0,32.5,U,2.0,60991.71,2.0,5.0,Control
35346,confirm,Control,1,7.0,88.0,32.5,U,3.0,57444.72,3.0,6.0,Control
35417,confirm,Control,1,19.0,230.0,26.5,F,2.0,73654.44,3.0,6.0,Control
35476,confirm,Test,1,20.0,250.0,31.0,M,2.0,86568.15,6.0,9.0,Test
35922,confirm,Test,1,4.0,58.0,44.5,U,2.0,65375.71,4.0,7.0,Test
36109,confirm,Control,1,21.0,257.0,71.5,M,4.0,68812.69,6.0,9.0,Control
36342,confirm,Test,1,18.0,224.0,49.5,M,2.0,474178.57,1.0,4.0,Test
36363,confirm,Test,1,6.0,82.0,30.0,U,2.0,67935.79000000001,6.0,9.0,Test
36430,confirm,Test,1,6.0,72.0,57.5,F,3.0,115992.74,3.0,6.0,Test
36986,confirm,Test,1,26.0,318.0,77.5,M,2.0,234612.34000000003,5.0,8.0,Test
37064,confirm,Control,1,5.0,60.0,32.5,U,2.0,31717.63,6.0,9.0,Control
37295,confirm,Control,1,7.0,90.0,31.5,U,2.0,57177.26,3.0,6.0,Control
37408,confirm,Control,1,6.0,82.0,46.5,U,2.0,35471.71,0.0,3.0,Control
37423,confirm,Test,1,17.0,209.0,48.5,U,2.0,66037.22,6.0,9.0,Test
37667,confirm,Test,1,10.0,122.0,32.0,F,2.0,79397.82,3.0,6.0,Test
37705,confirm,Test,1,7.0,90.0,24.5,U,3.0,52655.91,2.0,5.0,Test
37897,confirm,Test,1,13.0,156.0,61.5,F,4.0,207677.37,6.0,9.0,Test
38283,confirm,Test,1,7.0,87.0,55.5,U,2.0,120493.88,6.0,9.0,Test
38340,confirm,Test,1,6.0,78.0,38.5,U,2.0,55491.25,2.0,5.0,Test
38551,confirm,Test,1,20.0,248.0,64.5,M,2.0,169952.78999999998,4.0,7.0,Test
38685,confirm,Control,1,20.0,248.0,53.0,F,3.0,116735.94,4.0,7.0,Control
38714,confirm,Control,1,10.0,122.0,60.0,M,2.0,51584.55,6.0,9.0,Control
38930,confirm,Control,1,22.0,274.0,25.5,F,2.0,66409.57,3.0,6.0,Control
38963,confirm,Control,1,20.0,245.0,45.5,M,2.0,752084.8200000001,0.0,5.0,Control
39075,confirm,Control,1,14.0,177.0,62.5,F,2.0,226185.21,2.0,5.0,Control
39566,confirm,Test,1,8.0,106.0,32.5,M,3.0,41781.78999999999,3.0,6.0,Test
40439,confirm,Test,1,7.0,90.0,35.5,M,3.0,55092.57,6.0,9.0,Test
41122,confirm,Test,1,4.0,58.0,26.5,U,2.0,32267.32,1.0,4.0,Test
41142,confirm,Test,1,6.0,80.0,38.0,U,2.0,182599.59000000003,6.0,9.0,Test
41199,confirm,Test,1,6.0,73.0,54.5,M,2.0,377373.55,4.0,7.0,Test
41237,confirm,Test,1,5.0,66.0,49.0,U,2.0,27571.33,2.0,5.0,Test
41516,confirm,Control,1,8.0,106.0,55.0,F,2.0,139892.15,2.0,5.0,Control
42082,confirm,Control,1,16.0,194.0,36.0,F,2.0,47308.03,0.0,3.0,Control
42349,confirm,Test,1,17.0,205.0,23.5,U,2.0,36845.23,3.0,6.0,Test
42725,confirm,Test,1,4.0,50.0,23.5,U,2.0,40371.86,0.0,3.0,Test
43645,confirm,Test,1,15.0,191.0,81.5,F,2.0,171674.26,0.0,3.0,Test
44060,confirm,Control,1,5.0,64.0,44.5,U,2.0,142002.43,2.0,5.0,Control
44216,confirm,Control,1,16.0,196.0,44.0,M,2.0,79616.53,6.0,9.0,Control
44705,confirm,Test,1,15.0,189.0,55.0,M,2.0,56823.68,1.0,4.0,Test
44860,confirm,Control,1,4.0,57.0,31.5,U,2.0,59942.13,2.0,5.0,Control
44932,confirm,Test,1,12.0,151.0,30.0,M,3.0,177651.03999999998,3.0,6.0,Test
45131,confirm,Test,1,5.0,70.0,76.0,U,2.0,391280.54,6.0,9.0,Test
45232,confirm,Test,1,4.0,58.0,63.5,U,3.0,33799.5,6.0,9.0,Test
45485,confirm,Test,1,21.0,254.0,67.5,M,5.0,653676.8500000001,6.0,9.0,Test
45510,confirm,Test,1,7.0,84.0,31.5,U,2.0,32355.59,6.0,9.0,Test
47571,confirm,Control,1,5.0,68.0,25.5,U,2.0,61967.39,3.0,6.0,Control
47933,confirm,Control,1,13.0,156.0,49.5,F,2.0,95327.95,1.0,4.0,Control
48431,confirm,Control,1,12.0,150.0,54.5,F,2.0,82479.58,4.0,7.0,Control
48448,confirm,Test,1,8.0,105.0,67.5,M,2.0,53172.78999999999,2.0,5.0,Test
48724,confirm,Test,1,4.0,57.0,38.5,U,2.0,53276.8,4.0,7.0,Test
49412,confirm,Control,1,11.0,136.0,51.5,M,2.0,238126.92,1.0,4.0,Control
49450,confirm,Control,1,22.0,271.0,62.5,U,2.0,31843.88,3.0,6.0,Control
49709,confirm,Test,1,4.0,54.0,67.5,M,2.0,83722.73,4.0,7.0,Test
50053,confirm,Test,1,5.0,70.0,56.5,U,2.0,68551.89,3.0,6.0,Test
50090,confirm,Test,1,13.0,157.0,54.5,M,2.0,77163.57,4.0,7.0,Test
50185,confirm,Control,1,5.0,71.0,45.0,U,2.0,37936.41,0.0,3.0,Control
50271,confirm,Control,1,6.0,73.0,35.5,U,2.0,35740.369999999995,5.0,8.0,Control
50325,confirm,Test,1,15.0,181.0,61.5,F,2.0,54506.61,4.0,7.0,Test
50643,confirm,Control,1,11.0,142.0,53.0,F,2.0,145174.91,4.0,7.0,Control
51493,confirm,Test,1,8.0,106.0,23.0,F,2.0,32788.57,3.0,6.0,Test
51526,confirm,Test,1,26.0,319.0,44.0,M,2.0,310116.59,2.0,5.0,Test
51706,confirm,Control,1,6.0,73.0,23.0,M,4.0,140006.03999999998,6.0,9.0,Control
51814,confirm,Control,1,24.0,290.0,60.5,F,2.0,236352.06,3.0,6.0,Control
51902,confirm,Control,1,14.0,176.0,41.0,M,2.0,41382.42,4.0,7.0,Control
52111,confirm,Control,1,8.0,106.0,46.0,M,2.0,72348.72,0.0,3.0,Control
52456,confirm,Control,1,5.0,66.0,55.5,U,2.0,312484.73,5.0,8.0,Control
52461,confirm,Control,1,12.0,152.0,46.0,F,2.0,118898.6,1.0,4.0,Control
52743,confirm,Test,1,6.0,82.0,54.5,U,2.0,41265.11,1.0,4.0,Test
52765,confirm,Control,1,8.0,98.0,26.5,U,2.0,28268.31,1.0,4.0,Control
53094,confirm,Control,1,7.0,84.0,29.5,U,2.0,58994.77,0.0,3.0,Control
53123,confirm,Control,1,23.0,277.0,54.5,M,3.0,67585.11,6.0,9.0,Control
53126,confirm,Control,1,6.0,73.0,37.5,U,2.0,74616.14,1.0,4.0,Control
53396,confirm,Test,1,21.0,254.0,50.5,M,2.0,287437.04,2.0,5.0,Test
54231,confirm,Test,1,14.0,168.0,53.5,F,2.0,1127349.9,0.0,3.0,Test
54291,confirm,Control,1,14.0,176.0,54.5,M,2.0,31387.6,2.0,5.0,Control
54363,confirm,Control,1,16.0,199.0,86.5,F,2.0,340181.99,4.0,7.0,Control
54893,confirm,Test,1,10.0,125.0,37.0,M,2.0,76744.57,0.0,3.0,Test
55059,confirm,Test,1,21.0,261.0,54.5,F,4.0,620683.92,6.0,9.0,Test
55265,confirm,Test,1,11.0,142.0,29.5,F,2.0,42724.7,6.0,9.0,Test
55333,confirm,Test,1,30.0,362.0,27.5,M,2.0,50613.02,6.0,9.0,Test
55448,confirm,Control,1,9.0,110.0,58.5,F,2.0,41450.38,3.0,6.0,Control
56294,confirm,Test,1,7.0,92.0,27.0,F,2.0,27489.64,3.0,6.0,Test
56529,confirm,Control,1,14.0,171.0,38.0,M,2.0,79617.16,6.0,9.0,Control
56923,confirm,Test,1,23.0,284.0,40.5,F,3.0,142006.44,4.0,7.0,Test
58001,confirm,Control,1,17.0,212.0,64.5,M,2.0,587219.4700000001,3.0,6.0,Control
58194,confirm,Test,1,9.0,113.0,45.5,F,2.0,196403.93,5.0,8.0,Test
58196,confirm,Control,1,7.0,86.0,45.5,U,2.0,59031.46,6.0,9.0,Control
58456,confirm,Control,1,15.0,183.0,61.0,U,2.0,33476.259999999995,5.0,8.0,Control
58589,confirm,Control,1,9.0,119.0,41.0,U,2.0,86738.88,3.0,6.0,Control
58676,confirm,Control,1,4.0,58.0,51.5,F,2.0,42749.84,0.0,3.0,Control
58867,confirm,Test,1,9.0,108.0,51.0,M,2.0,47514.76,3.0,6.0,Test
58917,confirm,Control,1,14.0,170.0,73.0,M,2.0,135903.59,4.0,7.0,Control
58962,confirm,Test,1,5.0,66.0,53.5,F,3.0,85123.89,3.0,6.0,Test
59089,confirm,Control,1,7.0,94.0,61.0,U,2.0,55961.32,0.0,3.0,Control
59152,confirm,Test,1,16.0,194.0,45.5,U,2.0,701946.64,6.0,9.0,Test
59360,confirm,Test,1,17.0,214.0,39.5,M,3.0,421044.15,0.0,3.0,Test
59782,confirm,Control,1,6.0,83.0,65.5,U,2.0,368237.57,2.0,5.0,Control
59802,confirm,Test,1,14.0,169.0,38.5,M,2.0,1791639.18,4.0,7.0,Test
59860,confirm,Control,1,8.0,106.0,52.0,F,2.0,99777.08,3.0,6.0,Control
60101,confirm,Test,1,6.0,72.0,43.5,U,2.0,33508.86,6.0,9.0,Test
60483,confirm,Test,1,43.0,516.0,52.5,M,2.0,25984.77,1.0,4.0,Test
61487,confirm,Test,1,12.0,150.0,26.5,F,2.0,49454.26,0.0,3.0,Test
61650,confirm,Test,1,10.0,123.0,50.0,M,2.0,208429.91,0.0,3.0,Test
61961,confirm,Test,1,5.0,64.0,73.5,M,2.0,305284.58,5.0,8.0,Test
62284,confirm,Test,1,8.0,105.0,64.5,F,2.0,33332.71,4.0,7.0,Test
62754,confirm,Test,1,23.0,277.0,64.5,F,3.0,67201.89,2.0,5.0,Test
62791,confirm,Test,1,8.0,99.0,62.5,U,3.0,715929.37,6.0,9.0,Test
62805,confirm,Test,1,13.0,156.0,43.5,F,2.0,203808.83,2.0,5.0,Test
63377,confirm,Control,1,5.0,66.0,26.5,U,2.0,52217.12,6.0,9.0,Control
63507,confirm,Test,1,27.0,331.0,31.5,M,2.0,63604.99,1.0,4.0,Test
63796,confirm,Test,1,15.0,189.0,79.5,F,2.0,49159.28999999999,6.0,9.0,Test
63879,confirm,Test,1,15.0,191.0,36.5,F,2.0,242925.89,3.0,6.0,Test
63955,confirm,Test,1,14.0,173.0,19.0,M,2.0,69302.67,6.0,9.0,Test
64020,confirm,Control,1,15.0,189.0,46.5,F,2.0,30617.57,0.0,3.0,Control
64058,confirm,Test,1,26.0,313.0,62.5,M,2.0,378569.04,6.0,9.0,Test
64635,confirm,Test,1,28.0,337.0,70.0,M,3.0,51077.36,5.0,8.0,Test
64871,confirm,Control,1,15.0,182.0,47.0,M,2.0,59767.83,2.0,5.0,Control
64964,confirm,Control,1,28.0,343.0,64.5,F,2.0,309748.62,0.0,3.0,Control
65221,confirm,Test,1,13.0,156.0,51.5,F,2.0,158167.96000000002,2.0,5.0,Test
65716,confirm,Control,1,12.0,145.0,45.0,F,3.0,124943.26,1.0,4.0,Control
65845,confirm,Control,1,9.0,108.0,61.5,M,3.0,1404725.64,5.0,8.0,Control
66160,confirm,Test,1,5.0,66.0,24.5,U,3.0,141468.63,3.0,6.0,Test
66169,confirm,Control,1,14.0,174.0,45.5,M,2.0,36003.61,2.0,5.0,Control
66539,confirm,Test,1,21.0,260.0,31.5,M,2.0,30098.62,0.0,3.0,Test
67390,confirm,Test,1,11.0,136.0,30.0,F,2.0,50085.64,1.0,4.0,Test
67452,confirm,Test,1,24.0,295.0,75.5,U,3.0,326951.92,5.0,8.0,Test
67925,confirm,Test,1,16.0,193.0,47.5,F,4.0,1169571.27,5.0,8.0,Test
68276,confirm,Test,1,19.0,238.0,59.5,M,3.0,140757.33000000002,6.0,9.0,Test
68830,confirm,Control,1,13.0,161.0,32.5,M,3.0,187433.08,6.0,9.0,Control
68854,confirm,Control,1,9.0,112.0,51.5,M,2.0,28772.33,2.0,5.0,Control
68886,confirm,Test,1,16.0,196.0,51.5,F,3.0,130556.28,2.0,5.0,Test
68963,confirm,Control,1,31.0,373.0,56.5,M,3.0,100637.5,6.0,9.0,Control
69255,confirm,Control,1,10.0,121.0,58.5,F,3.0,183269.84000000003,6.0,9.0,Control
69598,confirm,Control,1,8.0,106.0,58.0,F,2.0,27306.32,3.0,6.0,Control
70225,confirm,Control,1,10.0,124.0,33.5,F,2.0,98031.52,3.0,6.0,Control
70576,confirm,Test,1,22.0,264.0,43.0,F,3.0,84377.1,6.0,9.0,Test
71296,confirm,Control,1,30.0,371.0,72.5,F,3.0,122614.26,3.0,6.0,Control
72074,confirm,Test,1,22.0,271.0,51.0,F,3.0,146135.76,6.0,9.0,Test
72221,confirm,Control,1,11.0,138.0,50.5,M,2.0,629755.24,6.0,9.0,Control
72395,confirm,Test,1,18.0,225.0,48.0,M,2.0,208866.05,4.0,7.0,Test
72915,confirm,Test,1,5.0,70.0,39.5,M,3.0,215694.63,6.0,9.0,Test
72916,confirm,Test,1,4.0,57.0,34.5,U,2.0,30046.66,1.0,4.0,Test
73331,confirm,Control,1,14.0,177.0,50.5,F,2.0,58785.07,6.0,9.0,Control
73335,confirm,Control,1,12.0,148.0,37.0,M,2.0,68041.32,0.0,3.0,Control
73453,confirm,Control,1,16.0,201.0,56.5,M,2.0,1194883.41,6.0,9.0,Control
73615,confirm,Test,1,10.0,129.0,41.0,M,2.0,59781.96,0.0,3.0,Test
73648,confirm,Test,1,14.0,169.0,53.5,M,4.0,990626.8,3.0,6.0,Test
73910,confirm,Control,1,10.0,123.0,27.5,M,2.0,47739.17,1.0,4.0,Control
74169,confirm,Control,1,4.0,57.0,35.5,U,4.0,56079.66,6.0,9.0,Control
74976,confirm,Test,1,10.0,125.0,47.5,M,2.0,90911.5,0.0,3.0,Test
75033,confirm,Test,1,10.0,130.0,69.5,M,2.0,105037.11,5.0,8.0,Test
75490,confirm,Test,1,8.0,102.0,24.5,M,2.0,35407.89,6.0,9.0,Test
75642,confirm,Control,1,18.0,225.0,77.5,M,3.0,478108.05,6.0,9.0,Control
76424,confirm,Control,1,7.0,95.0,69.5,U,2.0,445627.21,6.0,9.0,Control
76429,confirm,Test,1,18.0,220.0,29.0,M,2.0,41369.28999999999,6.0,9.0,Test
76481,confirm,Test,1,6.0,81.0,62.5,U,2.0,808107.3500000001,2.0,5.0,Test
76776,confirm,Control,1,27.0,330.0,62.5,M,2.0,56115.88,1.0,4.0,Control
77071,confirm,Control,1,5.0,69.0,46.5,U,2.0,35284.29,1.0,4.0,Control
77276,confirm,Test,1,4.0,56.0,18.5,U,2.0,30116.53,1.0,4.0,Test
77513,confirm,Test,1,11.0,142.0,33.5,F,2.0,68765.19,1.0,4.0,Test
77651,confirm,Test,1,34.0,414.0,69.5,F,5.0,1666212.18,6.0,9.0,Test
77933,confirm,Test,1,5.0,65.0,39.5,U,2.0,97418.69,3.0,6.0,Test
79127,confirm,Control,1,27.0,331.0,64.5,F,2.0,484262.45,6.0,9.0,Control
79452,confirm,Test,1,10.0,124.0,45.5,F,2.0,25497.63,1.0,4.0,Test
79571,confirm,Control,1,10.0,122.0,53.0,F,2.0,228555.67,4.0,7.0,Control
79679,confirm,Control,1,14.0,168.0,57.5,F,2.0,35868.44,3.0,6.0,Control
79897,confirm,Test,1,7.0,86.0,54.5,U,2.0,56925.81,6.0,9.0,Test
80006,confirm,Test,1,29.0,349.0,71.5,M,2.0,107857.11,6.0,9.0,Test
80126,confirm,Test,1,6.0,75.0,64.0,U,2.0,41674.77,1.0,4.0,Test
80127,confirm,Control,1,15.0,185.0,45.5,M,4.0,178829.02999999997,6.0,9.0,Control
80275,confirm,Test,1,21.0,253.0,62.5,M,2.0,418691.28,2.0,5.0,Test
